,Prices_DE_Intraday_Continuous_HourlyProducts_ID1,Prices_DE_Intraday_Continuous_HourlyProducts_ID3,Prices_DE_Intraday_Continuous_HourlyProducts_VolumeSell,Prices_DE_Intraday_Continuous_HourlyProducts_VolumeBuy,Prices_DE_Intraday_Continuous_QuarterHourlyProducts_ID1,Prices_DE_Intraday_Continuous_QuarterHourlyProducts_ID3,Prices_DE_Intraday_Continuous_QuarterHourlyProducts_VolumeSell,Prices_DE_Intraday_Continuous_QuarterHourlyProducts_VolumeBuy,Prices_DE_Intraday_Auction_VolumeCleared,Prices_DE_Intraday_Auction_Price,Weekday,Week,DayOfYear,Hour,QuarterHour
2020-01-01 00:00:00,44.37,40.11,2591.8,2911.9,60.63,56.49,560.2,482.0,758.7,56.51,2,1,1,1,1
2020-01-01 00:15:00,44.37,40.11,2591.8,2911.9,62.45,54.79,460.3,449.4,529.8,44.15,2,1,1,1,2
2020-01-01 00:30:00,44.37,40.11,2591.8,2911.9,50.89,43.05,602.7,614.0,625.8,41.9,2,1,1,1,3
2020-01-01 00:45:00,44.37,40.11,2591.8,2911.9,66.37,53.17,900.4,936.4,1051.6,38.15,2,1,1,1,4
2020-01-01 01:00:00,42.62,37.43,2847.0,3258.8,51.79,50.64,209.7,236.9,812.3,48.61,2,1,1,2,1
2020-01-01 01:15:00,42.62,37.43,2847.0,3258.8,33.97,36.7,293.1,321.4,412.9,42.31,2,1,1,2,2
2020-01-01 01:30:00,42.62,37.43,2847.0,3258.8,28.95,31.96,275.7,301.5,605.4,39.88,2,1,1,2,3
2020-01-01 01:45:00,42.62,37.43,2847.0,3258.8,19.5,21.47,345.7,457.4,777.0,33.04,2,1,1,2,4
2020-01-01 02:00:00,29.64,33.44,2786.8,3103.2,30.39,35.01,345.7,373.2,653.9,43.99,2,1,1,3,1
2020-01-01 02:15:00,29.64,33.44,2786.8,3103.2,23.96,26.75,292.5,292.9,421.8,40.06,2,1,1,3,2
2020-01-01 02:30:00,29.64,33.44,2786.8,3103.2,28.4,31.98,309.4,344.6,501.1,35.65,2,1,1,3,3
2020-01-01 02:45:00,29.64,33.44,2786.8,3103.2,33.2,25.71,609.6,787.2,667.7,30.25,2,1,1,3,4
2020-01-01 03:00:00,32.32,31.51,3292.1,3044.5,29.81,24.17,374.3,741.7,686.4,40.14,2,1,1,4,1
2020-01-01 03:15:00,32.32,31.51,3292.1,3044.5,36.85,35.92,353.7,424.9,514.8,36.73,2,1,1,4,2
2020-01-01 03:30:00,32.32,31.51,3292.1,3044.5,39.5,36.8,329.0,338.2,512.6,33.73,2,1,1,4,3
2020-01-01 03:45:00,32.32,31.51,3292.1,3044.5,49.23,34.19,561.1,601.4,569.6,30.76,2,1,1,4,4
2020-01-01 04:00:00,33.18,32.71,3279.1,3498.7,32.19,35.85,410.3,446.8,751.4,36.74,2,1,1,5,1
2020-01-01 04:15:00,33.18,32.71,3279.1,3498.7,30.11,31.0,395.4,397.2,595.8,33.79,2,1,1,5,2
2020-01-01 04:30:00,33.18,32.71,3279.1,3498.7,26.12,30.89,382.6,359.5,482.0,36.72,2,1,1,5,3
2020-01-01 04:45:00,33.18,32.71,3279.1,3498.7,22.65,28.92,449.4,484.1,707.1,30.35,2,1,1,5,4
2020-01-01 05:00:00,23.84,31.29,3072.0,3190.8,26.14,32.27,359.2,452.0,852.0,38.04,2,1,1,6,1
2020-01-01 05:15:00,23.84,31.29,3072.0,3190.8,19.64,28.66,385.2,418.5,587.7,31.12,2,1,1,6,2
2020-01-01 05:30:00,23.84,31.29,3072.0,3190.8,23.0,25.31,332.5,352.6,508.6,36.7,2,1,1,6,3
2020-01-01 05:45:00,23.84,31.29,3072.0,3190.8,22.45,20.81,546.7,597.4,677.5,29.79,2,1,1,6,4
2020-01-01 06:00:00,24.18,29.87,2496.5,2010.8,27.27,28.33,349.4,383.1,798.6,30.07,2,1,1,7,1
2020-01-01 06:15:00,24.18,29.87,2496.5,2010.8,29.66,27.8,439.7,445.6,649.3,29.41,2,1,1,7,2
2020-01-01 06:30:00,24.18,29.87,2496.5,2010.8,24.35,25.37,394.1,393.4,594.3,30.31,2,1,1,7,3
2020-01-01 06:45:00,24.18,29.87,2496.5,2010.8,28.94,27.7,514.5,506.6,531.2,36.73,2,1,1,7,4
2020-01-01 07:00:00,28.17,30.16,2527.4,2074.2,27.67,24.62,299.6,369.1,1042.3,27.67,2,1,1,8,1
2020-01-01 07:15:00,28.17,30.16,2527.4,2074.2,33.16,30.6,638.6,636.2,792.3,28.02,2,1,1,8,2
2020-01-01 07:30:00,28.17,30.16,2527.4,2074.2,39.34,32.58,693.0,674.7,478.2,27.12,2,1,1,8,3
2020-01-01 07:45:00,28.17,30.16,2527.4,2074.2,38.8,34.51,809.5,773.0,783.0,30.85,2,1,1,8,4
2020-01-01 08:00:00,29.06,30.35,3112.6,2997.2,32.84,31.71,476.6,427.5,1441.3,22.05,2,1,1,9,1
2020-01-01 08:15:00,29.06,30.35,3112.6,2997.2,26.98,30.23,422.7,420.1,833.3,24.6,2,1,1,9,2
2020-01-01 08:30:00,29.06,30.35,3112.6,2997.2,22.71,26.9,553.8,524.3,654.4,27.83,2,1,1,9,3
2020-01-01 08:45:00,29.06,30.35,3112.6,2997.2,25.1,26.87,805.9,708.6,1279.1,28.78,2,1,1,9,4
2020-01-01 09:00:00,28.9,29.82,3457.8,2423.1,33.28,31.61,339.4,379.0,1448.7,30.84,2,1,1,10,1
2020-01-01 09:15:00,28.9,29.82,3457.8,2423.1,26.98,28.87,408.8,419.0,736.2,24.63,2,1,1,10,2
2020-01-01 09:30:00,28.9,29.82,3457.8,2423.1,31.97,29.03,613.5,596.5,828.9,23.85,2,1,1,10,3
2020-01-01 09:45:00,28.9,29.82,3457.8,2423.1,30.17,30.1,891.5,884.0,1765.8,28.19,2,1,1,10,4
2020-01-01 10:00:00,32.37,30.15,3335.3,2991.8,31.19,30.95,351.3,381.6,1571.9,36.7,2,1,1,11,1
2020-01-01 10:15:00,32.37,30.15,3335.3,2991.8,33.92,32.73,373.7,382.2,901.0,30.91,2,1,1,11,2
2020-01-01 10:30:00,32.37,30.15,3335.3,2991.8,30.82,30.86,575.4,577.4,1019.0,28.17,2,1,1,11,3
2020-01-01 10:45:00,32.37,30.15,3335.3,2991.8,22.26,26.45,824.2,830.3,1614.8,24.03,2,1,1,11,4
2020-01-01 11:00:00,33.06,30.68,3955.9,4440.6,30.52,31.3,471.0,480.7,1532.6,36.71,2,1,1,12,1
2020-01-01 11:15:00,33.06,30.68,3955.9,4440.6,36.19,35.51,405.9,408.0,942.9,37.08,2,1,1,12,2
2020-01-01 11:30:00,33.06,30.68,3955.9,4440.6,23.99,27.54,654.9,669.7,813.3,23.82,2,1,1,12,3
2020-01-01 11:45:00,33.06,30.68,3955.9,4440.6,4.84,15.21,868.2,890.5,1070.9,22.94,2,1,1,12,4
2020-01-01 12:00:00,24.12,30.16,4992.5,4862.2,16.37,21.2,581.6,574.8,737.6,26.48,2,1,1,13,1
2020-01-01 12:15:00,24.12,30.16,4992.5,4862.2,18.04,21.7,757.1,719.3,466.6,25.94,2,1,1,13,2
2020-01-01 12:30:00,24.12,30.16,4992.5,4862.2,10.81,16.91,793.6,807.3,446.8,29.74,2,1,1,13,3
2020-01-01 12:45:00,24.12,30.16,4992.5,4862.2,-4.19,6.41,1245.5,1261.6,723.9,27.84,2,1,1,13,4
2020-01-01 13:00:00,19.87,27.85,6466.5,6066.6,4.85,12.49,780.9,743.3,1215.4,25.24,2,1,1,14,1
2020-01-01 13:15:00,19.87,27.85,6466.5,6066.6,18.66,21.03,865.6,874.1,790.9,28.49,2,1,1,14,2
