,Prices_DE_Intraday_Continuous_HourlyProducts_ID1,Prices_DE_Intraday_Continuous_HourlyProducts_ID3,Prices_DE_Intraday_Continuous_HourlyProducts_VolumeSell,Prices_DE_Intraday_Continuous_HourlyProducts_VolumeBuy,Prices_DE_Intraday_Continuous_QuarterHourlyProducts_ID1,Prices_DE_Intraday_Continuous_QuarterHourlyProducts_ID3,Prices_DE_Intraday_Continuous_QuarterHourlyProducts_VolumeSell,Prices_DE_Intraday_Continuous_QuarterHourlyProducts_VolumeBuy,Prices_DE_Intraday_Auction_VolumeCleared,Prices_DE_Intraday_Auction_Price,Weekday,Week,DayOfYear,Hour,QuarterHour
2018-01-01 00:00:00,,0.43,2242.9,2242.4,,14.68,216.9,216.9,901.6,9.98,0,1,1,1,1
2018-01-01 00:15:00,,0.43,2242.9,2242.4,,3.96,91.9,102.9,621.1,6.55,0,1,1,1,2
2018-01-01 00:30:00,,0.43,2242.9,2242.4,,-3.25,325.6,325.6,553.1,-10.67,0,1,1,1,3
2018-01-01 00:45:00,,0.43,2242.9,2242.4,,-3.54,367.7,367.7,1084.7,-28.4,0,1,1,1,4
2018-01-01 01:00:00,,-2.83,2640.1,2640.1,,30.65,580.2,580.2,1076.3,6.64,0,1,1,2,1
2018-01-01 01:15:00,,-2.83,2640.1,2640.1,,-2.92,271.7,271.7,582.0,-13.46,0,1,1,2,2
2018-01-01 01:30:00,,-2.83,2640.1,2640.1,,-8.9,408.5,408.5,558.1,-30.16,0,1,1,2,3
2018-01-01 01:45:00,,-2.83,2640.1,2640.1,,-17.71,893.0,893.0,883.7,-72.73,0,1,1,2,4
2018-01-01 02:00:00,,-19.61,3372.8,3372.8,,10.44,520.8,520.8,916.1,-17.37,0,1,1,3,1
2018-01-01 02:15:00,,-19.61,3372.8,3372.8,,-6.04,420.0,420.0,558.6,-35.88,0,1,1,3,2
2018-01-01 02:30:00,,-19.61,3372.8,3372.8,,-13.76,645.4,645.4,510.6,-62.63,0,1,1,3,3
2018-01-01 02:45:00,,-19.61,3372.8,3372.8,,-15.94,639.0,639.0,680.2,-76.26,0,1,1,3,4
2018-01-01 03:00:00,,-21.26,3476.4,3673.2,,-3.84,417.8,417.8,606.3,-46.82,0,1,1,4,1
2018-01-01 03:15:00,,-21.26,3476.4,3673.2,,-2.67,124.8,124.8,447.6,-60.54,0,1,1,4,2
2018-01-01 03:30:00,,-21.26,3476.4,3673.2,,1.18,259.9,259.9,434.7,-72.57,0,1,1,4,3
