,Prices_DE_Intraday_Continuous_HourlyProducts_ID1,Prices_DE_Intraday_Continuous_HourlyProducts_ID3,Prices_DE_Intraday_Continuous_HourlyProducts_VolumeSell,Prices_DE_Intraday_Continuous_HourlyProducts_VolumeBuy,Prices_DE_Intraday_Continuous_QuarterHourlyProducts_ID1,Prices_DE_Intraday_Continuous_QuarterHourlyProducts_ID3,Prices_DE_Intraday_Continuous_QuarterHourlyProducts_VolumeSell,Prices_DE_Intraday_Continuous_QuarterHourlyProducts_VolumeBuy,Prices_DE_Intraday_Auction_VolumeCleared,Prices_DE_Intraday_Auction_Price,Weekday,Week,DayOfYear,Hour,QuarterHour
2024-01-01 00:00:00,-5.73,-2.5,6892.6,6652.6,1.04,4.52,2609.9,2334.5,253.8,19.92,0,1,1,1,1
2024-01-01 00:15:00,-5.73,-2.5,6892.6,6652.6,-3.13,0.5,2115.3,2083.8,152.85,6.9,0,1,1,1,2
2024-01-01 00:30:00,-5.73,-2.5,6892.6,6652.6,-7.57,-6.46,2370.8,2535.2,196.075,3.21,0,1,1,1,3
2024-01-01 00:45:00,-5.73,-2.5,6892.6,6652.6,-14.09,-10.71,2724.9,2880.2,274.175,0.44,0,1,1,1,4
2024-01-01 01:00:00,-4.03,-1.64,6752.8,6896.9,1.74,6.29,2085.7,1915.0,206.625,6.24,0,1,1,2,1
2024-01-01 01:15:00,-4.03,-1.64,6752.8,6896.9,-5.06,-0.3,2005.7,1956.9,114.25,0.59,0,1,1,2,2
2024-01-01 01:30:00,-4.03,-1.64,6752.8,6896.9,-8.28,-6.96,2298.5,2421.1,123.575,-0.05,0,1,1,2,3
2024-01-01 01:45:00,-4.03,-1.64,6752.8,6896.9,-12.28,-10.28,2494.9,2583.4,185.0,-0.1,0,1,1,2,4
2024-01-01 02:00:00,-3.63,-0.68,7446.5,7191.7,4.12,6.74,1901.2,1741.9,170.325,7.36,0,1,1,3,1
2024-01-01 02:15:00,-3.63,-0.68,7446.5,7191.7,-0.48,1.78,1559.6,1533.2,115.525,2.92,0,1,1,3,2
2024-01-01 02:30:00,-3.63,-0.68,7446.5,7191.7,-7.42,-5.19,1766.6,1760.9,116.525,-0.02,0,1,1,3,3
2024-01-01 02:45:00,-3.63,-0.68,7446.5,7191.7,-8.49,-7.1,1961.1,2026.6,143.225,-0.04,0,1,1,3,4
2024-01-01 03:00:00,1.28,3.04,7470.8,6983.3,8.4,8.4,1332.1,1248.2,180.675,5.51,0,1,1,4,1
2024-01-01 03:15:00,1.28,3.04,7470.8,6983.3,4.55,4.95,1375.5,1414.7,144.7,1.99,0,1,1,4,2
2024-01-01 03:30:00,1.28,3.04,7470.8,6983.3,-2.91,-1.53,1417.0,1488.8,148.4,-0.01,0,1,1,4,3
2024-01-01 03:45:00,1.28,3.04,7470.8,6983.3,-3.59,-2.05,1611.7,1740.9,168.15,1.91,0,1,1,4,4
2024-01-01 04:00:00,4.07,5.13,8820.6,7436.1,4.48,3.79,1508.6,1668.6,157.025,1.94,0,1,1,5,1
2024-01-01 04:15:00,4.07,5.13,8820.6,7436.1,3.01,2.77,1539.9,1643.5,144.75,0.53,0,1,1,5,2
2024-01-01 04:30:00,4.07,5.13,8820.6,7436.1,8.53,6.85,1618.0,1733.6,155.7,0.54,0,1,1,5,3
2024-01-01 04:45:00,4.07,5.13,8820.6,7436.1,7.03,6.44,1992.4,2093.9,152.275,1.91,0,1,1,5,4
2024-01-01 05:00:00,11.9,14.61,9434.5,7416.6,8.68,11.51,1445.0,1721.4,162.925,1.92,0,1,1,6,1
2024-01-01 05:15:00,11.9,14.61,9434.5,7416.6,8.1,10.71,1551.3,1669.1,147.25,0.04,0,1,1,6,2
2024-01-01 05:30:00,11.9,14.61,9434.5,7416.6,17.71,17.46,2075.4,1999.9,139.325,0.03,0,1,1,6,3
2024-01-01 05:45:00,11.9,14.61,9434.5,7416.6,17.18,17.38,2520.9,2282.1,148.2,-0.03,0,1,1,6,4
2024-01-01 06:00:00,2.41,8.47,8948.5,7653.4,-4.38,-1.98,1937.3,2102.7,229.8,1.94,0,1,1,7,1
2024-01-01 06:15:00,2.41,8.47,8948.5,7653.4,3.12,5.76,2080.6,2099.1,206.95,0.09,0,1,1,7,2
2024-01-01 06:30:00,2.41,8.47,8948.5,7653.4,7.56,10.87,2331.0,2170.5,196.375,1.92,0,1,1,7,3
2024-01-01 06:45:00,2.41,8.47,8948.5,7653.4,10.01,12.83,2580.2,2327.8,214.9,1.92,0,1,1,7,4
2024-01-01 07:00:00,7.97,9.96,8136.5,7190.9,-2.26,-6.71,2101.2,2207.4,259.15,0.18,0,1,1,8,1
2024-01-01 07:15:00,7.97,9.96,8136.5,7190.9,3.06,2.55,1687.8,1725.7,179.425,1.92,0,1,1,8,2
2024-01-01 07:30:00,7.97,9.96,8136.5,7190.9,12.99,12.09,2064.1,1994.5,187.75,1.97,0,1,1,8,3
2024-01-01 07:45:00,7.97,9.96,8136.5,7190.9,20.83,21.36,2503.1,2492.8,316.0,18.66,0,1,1,8,4
2024-01-01 08:00:00,24.81,16.7,7592.3,7310.5,13.81,9.57,1982.9,2492.2,256.125,-0.03,0,1,1,9,1
2024-01-01 08:15:00,24.81,16.7,7592.3,7310.5,25.29,19.97,2293.2,2445.9,182.575,0.02,0,1,1,9,2
2024-01-01 08:30:00,24.81,16.7,7592.3,7310.5,29.96,22.81,3329.4,3376.4,158.575,0.05,0,1,1,9,3
2024-01-01 08:45:00,24.81,16.7,7592.3,7310.5,30.23,23.86,4550.6,4562.9,277.875,0.54,0,1,1,9,4
2024-01-01 09:00:00,-4.52,11.19,10139.7,9219.5,-0.29,11.83,3016.4,3033.7,319.5,-0.01,0,1,1,10,1
2024-01-01 09:15:00,-4.52,11.19,10139.7,9219.5,0.48,10.44,3010.6,3029.7,204.85,1.93,0,1,1,10,2
2024-01-01 09:30:00,-4.52,11.19,10139.7,9219.5,-4.16,5.56,3106.8,3203.8,199.025,0.01,0,1,1,10,3
2024-01-01 09:45:00,-4.52,11.19,10139.7,9219.5,-10.72,1.7,3832.9,4050.2,314.0,-0.01,0,1,1,10,4
2024-01-01 10:00:00,-4.63,6.92,9735.3,9520.8,1.1,11.94,2237.2,2145.6,284.625,-0.04,0,1,1,11,1
2024-01-01 10:15:00,-4.63,6.92,9735.3,9520.8,-2.3,5.42,2361.3,2536.2,160.325,-0.01,0,1,1,11,2
2024-01-01 10:30:00,-4.63,6.92,9735.3,9520.8,-3.99,3.3,3330.1,3551.1,150.4,1.92,0,1,1,11,3
2024-01-01 10:45:00,-4.63,6.92,9735.3,9520.8,-16.87,-4.78,3612.1,4069.5,242.2,0.52,0,1,1,11,4
2024-01-01 11:00:00,7.84,4.63,8619.3,8465.4,18.65,11.86,2486.8,2381.8,248.3,-0.01,0,1,1,12,1
2024-01-01 11:15:00,7.84,4.63,8619.3,8465.4,7.65,5.35,2625.3,2748.1,161.075,2.07,0,1,1,12,2
2024-01-01 11:30:00,7.84,4.63,8619.3,8465.4,6.1,4.88,3253.6,3440.4,198.275,1.95,0,1,1,12,3
2024-01-01 11:45:00,7.84,4.63,8619.3,8465.4,2.99,2.65,3364.2,3696.6,245.175,6.0,0,1,1,12,4
2024-01-01 12:00:00,-10.03,-1.4,10452.5,10447.1,1.75,5.07,2738.0,2419.8,208.35,1.96,0,1,1,13,1
2024-01-01 12:15:00,-10.03,-1.4,10452.5,10447.1,-5.69,-1.39,3231.1,3390.5,174.025,5.31,0,1,1,13,2
